data_type	trimming	align	length	gaps
complete_aa	no_trimming	clustal	319	41.4
complete_aa	no_trimming	macse	653	71.4
complete_aa	no_trimming	mafft	477	60.8
complete_aa	no_trimming	muscle	657	71.6
complete_aa	hmmcleaner	clustal	273	54.9
complete_aa	hmmcleaner	macse	617	79.4
complete_aa	hmmcleaner	mafft	408	68.3
complete_aa	hmmcleaner	muscle	657	80.2
complete_aa	20_gaps	clustal	231	21.6
complete_aa	20_gaps	macse	191	7.8
complete_aa	20_gaps	mafft	201	13.3
complete_aa	20_gaps	muscle	190	8.0
complete_aa	no_trimming	baliphy	984	81.0
domain_aa	no_trimming	clustal	108	3.4
domain_aa	no_trimming	macse	115	9.3
domain_aa	no_trimming	mafft	110	5.1
domain_aa	no_trimming	muscle	111	6.0
domain_aa	no_trimming	baliphy	147	29.0
domain_aa	hmmcleaner	clustal	108	5.9
domain_aa	hmmcleaner	macse	115	11.3
domain_aa	hmmcleaner	mafft	110	7.8
domain_aa	hmmcleaner	muscle	111	8.4
domain_aa	20_gaps	clustal	108	3.4
domain_aa	20_gaps	macse	107	2.6
domain_aa	20_gaps	mafft	107	2.6
domain_aa	20_gaps	muscle	107	2.5
complete_nt	no_trimming	clustal	957	41.4
complete_nt	no_trimming	macse	1959	71.4
complete_nt	no_trimming	mafft	1431	60.8
complete_nt	no_trimming	muscle	1971	71.6
complete_nt	hmmcleaner	clustal	633	43.4
complete_nt	hmmcleaner	macse	669	46.7
complete_nt	hmmcleaner	mafft	657	43.7
complete_nt	hmmcleaner	muscle	639	42.2
complete_nt	20_gaps	clustal	693	21.6
complete_nt	20_gaps	macse	573	7.8
complete_nt	20_gaps	mafft	603	13.3
complete_nt	20_gaps	muscle	570	8.0
domain_nt	no_trimming	clustal	324	3.4
domain_nt	no_trimming	macse	345	9.3
domain_nt	no_trimming	mafft	330	5.1
domain_nt	no_trimming	muscle	333	6.0
domain_nt	hmmcleaner	clustal	324	5.6
domain_nt	hmmcleaner	macse	345	11.3
domain_nt	hmmcleaner	mafft	330	7.4
domain_nt	hmmcleaner	muscle	330	7.4
domain_nt	20_gaps	clustal	324	3.4
domain_nt	20_gaps	macse	321	2.6
domain_nt	20_gaps	mafft	321	2.6
domain_nt	20_gaps	muscle	321	2.5
domain_codon	no_trimming	clustal	324	3.4
domain_codon	no_trimming	macse	345	9.3
domain_codon	no_trimming	mafft	330	5.1
domain_codon	no_trimming	muscle	333	6.0
domain_codon	no_trimming	baliphy	555	43.4
domain_codon	hmmcleaner	clustal	324	5.6
domain_codon	hmmcleaner	macse	345	11.3
domain_codon	hmmcleaner	mafft	330	7.4
domain_codon	hmmcleaner	muscle	330	7.4
domain_codon	20_gaps	clustal	324	3.4
domain_codon	20_gaps	macse	321	2.6
domain_codon	20_gaps	mafft	321	2.6
domain_codon	20_gaps	muscle	321	2.5
