seqnames	names	start	end
gin_chr1	evm_model_chr1_1	3479004	3483204
gin_chr1	evm_model_chr1_2	4289655	4323087
gin_chr1	evm_model_chr1_3	4818617	4998879
gin_chr1	evm_model_chr1_4	5235305	5237785
gin_chr1	evm_model_chr1_5	5432830	5434000
gin_chr1	evm_model_chr1_6	5434072	5545431
gin_chr1	evm_model_chr1_7	5714574	5721642
gin_chr1	evm_model_chr1_8	5914722	5916367
gin_chr1	evm_model_chr1_9	6017170	6018852
gin_chr1	evm_model_chr1_10	6412033	6415040
gin_chr1	evm_model_chr1_11	6731768	6733458
gin_chr1	evm_model_chr1_12	6831157	6833078
gin_chr1	evm_model_chr1_13	6911676	6913296
gin_chr1	evm_model_chr1_14	7077951	7079502
gin_chr1	evm_model_chr1_15	7607028	7608840
gin_chr1	evm_model_chr1_16	7694836	7695494
gin_chr1	evm_model_chr1_17	7843596	7845575
gin_chr1	evm_model_chr1_18	7967169	7968656
gin_chr1	evm_model_chr1_19	8089790	8090423
gin_chr1	evm_model_chr1_20	8338813	8339712
gin_chr1	evm_model_chr1_21	8450678	8530201
gin_chr1	evm_model_chr1_22	8821741	8822056
gin_chr1	evm_model_chr1_23	9028559	9028910
gin_chr1	evm_model_chr1_24	9111651	9114674
gin_chr1	evm_model_chr1_25	9523510	9648190
gin_chr1	evm_model_chr1_26	9907193	9907673
gin_chr1	evm_model_chr1_27	10068506	10123513
gin_chr1	evm_model_chr1_28	10266868	10268101
gin_chr1	evm_model_chr1_29	10586312	10594090
gin_chr1	evm_model_chr1_30	11338969	11350614
gin_chr1	evm_model_chr1_31	11462692	11466552
gin_chr1	evm_model_chr1_32	11535996	11536521
gin_chr1	evm_model_chr1_33	11668339	11722939
gin_chr1	evm_model_chr1_34	12005143	12044403
gin_chr1	evm_model_chr1_35	12577995	12580938
gin_chr1	evm_model_chr1_36	13039075	13111881
gin_chr1	evm_model_chr1_37	13321558	13324042
gin_chr1	evm_model_chr1_38	13503496	13504372
gin_chr1	evm_model_chr1_39	13686019	13686511
gin_chr1	evm_model_chr1_40	13841875	14064253
gin_chr1	evm_model_chr1_41	14332039	14456427
gin_chr1	evm_model_chr1_42	14639330	14640179
gin_chr1	evm_model_chr1_43	14730812	14731214
gin_chr1	evm_model_chr1_44	14980969	14981371
gin_chr1	evm_model_chr1_45	15388910	15389381
gin_chr1	evm_model_chr1_46	15422544	15422907
gin_chr1	evm_model_chr1_47	16370597	16371758
gin_chr1	evm_model_chr1_48	16597790	16637893
gin_chr1	evm_model_chr1_49	16697996	16698293
gin_chr1	evm_model_chr1_50	16878129	16885272
gin_chr1	evm_model_chr1_51	17345637	17347602
gin_chr1	evm_model_chr1_52	17411992	17413887
gin_chr1	evm_model_chr1_53	17448377	17449831
gin_chr1	evm_model_chr1_54	17454899	17456944
gin_chr1	evm_model_chr1_55	17968240	17968563
gin_chr1	evm_model_chr1_56	18163756	18166495
gin_chr1	evm_model_chr1_57	18302095	18302464
gin_chr1	evm_model_chr1_58	18744164	18745016
gin_chr1	evm_model_chr1_59	18910122	18978915
gin_chr1	evm_model_chr1_60	19260115	19263337
gin_chr1	evm_model_chr1_61	19568214	19568586
gin_chr1	evm_model_chr1_62	19568970	19810488
gin_chr1	evm_model_chr1_63	19852541	19852898
gin_chr1	evm_model_chr1_64	19974366	19976194
gin_chr1	evm_model_chr1_65	20243319	20248598
gin_chr1	evm_model_chr1_66	20350626	20351263
gin_chr1	evm_model_chr1_67	20468004	20545959
gin_chr1	evm_model_chr1_68	20731427	20734229
gin_chr1	evm_model_chr1_69	20769265	20770794
gin_chr1	evm_model_chr1_70	20772232	20926806
gin_chr1	evm_model_chr1_71	21063876	21065889
gin_chr1	evm_model_chr1_72	21367326	21458069
gin_chr1	evm_model_chr1_73	21570502	21572326
gin_chr1	evm_model_chr1_74	21771273	21771729
gin_chr1	evm_model_chr1_75	22113038	22114752
gin_chr1	evm_model_chr1_76	22378362	22378984
gin_chr1	evm_model_chr1_77	22442844	22637183
gin_chr1	evm_model_chr1_78	22674030	22674285
gin_chr1	evm_model_chr1_79	23598211	23599693
gin_chr1	evm_model_chr1_80	24091361	24092326
gin_chr1	evm_model_chr1_81	24488468	24489173
gin_chr1	evm_model_chr1_82	24909060	24911177
gin_chr1	evm_model_chr1_83	25533526	25623715
gin_chr1	evm_model_chr1_84	26336723	26483549
gin_chr1	evm_model_chr1_85	26796298	27007621
gin_chr1	evm_model_chr1_86	27454914	27459037
gin_chr1	evm_model_chr1_87	27992751	27993219
gin_chr1	evm_model_chr1_88	28044225	28045865
gin_chr1	evm_model_chr1_89	28414983	28416327
gin_chr1	evm_model_chr1_90	28426683	28427556
gin_chr1	evm_model_chr1_91	28733866	28735021
gin_chr1	evm_model_chr1_92	29104080	29105866
gin_chr1	evm_model_chr1_93	29263512	29263737
gin_chr1	evm_model_chr1_94	29263977	29332421
gin_chr1	evm_model_chr1_95	29753208	29754514
gin_chr1	evm_model_chr1_96	29872770	29876817
gin_chr1	evm_model_chr1_97	31370790	31595242
gin_chr1	evm_model_chr1_98	31843546	31909386
gin_chr1	evm_model_chr1_99	32063819	32148056
gin_chr1	evm_model_chr1_100	32360798	32365520
gin_chr1	evm_model_chr1_101	32488764	32490422
gin_chr1	evm_model_chr1_102	32784627	32895801
gin_chr1	evm_model_chr1_103	33281172	33282677
gin_chr1	evm_model_chr1_104	33415526	33416878
gin_chr1	evm_model_chr1_105	33682847	33684586
gin_chr1	evm_model_chr1_106	33854320	33982726
gin_chr1	evm_model_chr1_107	34277249	34277907
gin_chr1	evm_model_chr1_108	34575231	34931034
gin_chr1	evm_model_chr1_109	35176990	35179695
gin_chr1	evm_model_chr1_110	35623131	35681042
gin_chr1	evm_model_chr1_111	36030553	36232189
gin_chr1	evm_model_chr1_112	36353350	36353731
gin_chr1	evm_model_chr1_113	36609007	36610183
gin_chr1	evm_model_chr1_114	36823819	36827074
gin_chr1	evm_model_chr1_115	37108995	37110474
gin_chr1	evm_model_chr1_116	37199779	37200950
gin_chr1	evm_model_chr1_117	37474209	37487303
gin_chr1	evm_model_chr1_118	37487405	37487975
gin_chr1	evm_model_chr1_119	37511276	37512647
gin_chr1	evm_model_chr1_120	37542280	37543186
gin_chr1	evm_model_chr1_121	37692317	37693107
gin_chr1	evm_model_chr1_122	38063903	38068798
gin_chr1	evm_model_chr1_123	38357333	38359545
gin_chr1	evm_model_chr1_124	38871448	38873392
gin_chr1	evm_model_chr1_125	39063522	39063837
gin_chr1	evm_model_chr1_126	39133376	39134362
gin_chr1	evm_model_chr1_127	39252524	39310179
gin_chr1	evm_model_chr1_128	39433835	39498352
gin_chr1	evm_model_chr1_129	39910167	39911806
gin_chr1	evm_model_chr1_130	39928970	39930607
gin_chr1	evm_model_chr1_131	40169769	40170962
gin_chr1	evm_model_chr1_132	40232531	40234685
gin_chr1	evm_model_chr1_133	40746609	40910041
gin_chr1	evm_model_chr1_134	40950137	41009152
gin_chr1	evm_model_chr1_135	41415471	41421371
gin_chr1	evm_model_chr1_136	41594570	41596580
gin_chr1	evm_model_chr1_137	42064703	42066144
gin_chr1	evm_model_chr1_138	42176879	42178818
gin_chr1	evm_model_chr1_139	42683525	42744177
gin_chr1	evm_model_chr1_140	42789042	42790581
gin_chr1	evm_model_chr1_141	42864284	42865283
gin_chr1	evm_model_chr1_142	43081097	43082723
gin_chr1	evm_model_chr1_143	43132564	43133514
gin_chr1	evm_model_chr1_144	43231960	43233620
gin_chr1	evm_model_chr1_145	43386868	43387835
gin_chr1	evm_model_chr1_146	43653117	43654210
gin_chr1	evm_model_chr1_147	43868437	43871930
gin_chr1	evm_model_chr1_148	43877234	43878644
gin_chr1	evm_model_chr1_149	43971871	43972162
gin_chr1	evm_model_chr1_150	43979807	43980362
gin_chr1	evm_model_chr1_151	44104814	44105777
gin_chr1	evm_model_chr1_152	44136501	44236418
gin_chr1	evm_model_chr1_153	44300525	44302598
gin_chr1	evm_model_chr1_154	44352641	44354717
gin_chr1	evm_model_chr1_155	44440541	44443616
gin_chr1	evm_model_chr1_156	44628556	44690857
gin_chr1	evm_model_chr1_157	45122350	45125701
gin_chr1	evm_model_chr1_158	46075407	46081236
gin_chr1	evm_model_chr1_159	46800939	47000058
gin_chr1	evm_model_chr1_160	47366199	47367780
gin_chr1	evm_model_chr1_161	47564484	47648640
gin_chr1	evm_model_chr1_162	48088114	48176243
gin_chr1	evm_model_chr1_163	48584356	48589329
gin_chr1	evm_model_chr1_164	48787784	48881152
gin_chr1	evm_model_chr1_165	49133904	49137441
gin_chr1	evm_model_chr1_166	49374069	49376831
gin_chr1	evm_model_chr1_167	49520480	49521737
gin_chr1	evm_model_chr1_168	49636718	49682865
gin_chr1	evm_model_chr1_169	49999409	50145732
gin_chr1	evm_model_chr1_170	50245142	50245535
gin_chr1	evm_model_chr1_171	50433985	50440079
gin_chr1	evm_model_chr1_172	50586822	50588560
gin_chr1	evm_model_chr1_173	50756072	50776899
gin_chr1	evm_model_chr1_174	51129140	51131633
gin_chr1	evm_model_chr1_175	51528675	51572416
gin_chr1	evm_model_chr1_176	51691956	51694085
gin_chr1	evm_model_chr1_177	52000383	52002644
gin_chr1	evm_model_chr1_178	52011351	52101206
gin_chr1	evm_model_chr1_179	52207672	52208452
gin_chr1	evm_model_chr1_180	52295011	52295809
gin_chr1	evm_model_chr1_181	52349042	52350349
gin_chr1	evm_model_chr1_182	52756323	52819683
gin_chr1	evm_model_chr1_183	52951008	53063854
gin_chr1	evm_model_chr1_184	53226789	53231443
gin_chr1	evm_model_chr1_185	53492569	53492989
gin_chr1	evm_model_chr1_186	53496319	53496964
gin_chr1	evm_model_chr1_187	53857413	53860125
gin_chr1	evm_model_chr1_188	54163029	54217040
gin_chr1	evm_model_chr1_189	54763357	54763723
gin_chr1	evm_model_chr1_190	54994955	55107872
gin_chr1	evm_model_chr1_191	55665759	55678459
gin_chr1	evm_model_chr1_192	55682177	55682681
gin_chr1	evm_model_chr1_193	55799981	55844778
gin_chr1	evm_model_chr1_194	55926543	55926934
gin_chr1	evm_model_chr1_195	56115143	56116097
gin_chr1	evm_model_chr1_196	56148368	56149125
gin_chr1	evm_model_chr1_197	56153981	56154794
gin_chr1	evm_model_chr1_198	56503488	56504400
gin_chr1	evm_model_chr1_199	56814814	56815768
gin_chr1	evm_model_chr1_200	56855585	56856664
gin_chr1	evm_model_chr1_201	57367058	57367880
gin_chr1	evm_model_chr1_202	57498180	57499089
gin_chr1	evm_model_chr1_203	57734889	57736993
gin_chr1	evm_model_chr1_204	57839188	57840718
gin_chr1	evm_model_chr1_205	58134452	58228210
gin_chr1	evm_model_chr1_206	58259875	58260382
gin_chr1	evm_model_chr1_207	58560183	58571346
gin_chr1	evm_model_chr1_208	58884005	59028767
gin_chr1	evm_model_chr1_209	59196196	59233811
