seqnames	names	start	end
tor_Chr0	TG0g00001-mRNA1	101673	104001
tor_Chr0	TG0g00002-mRNA1	3457019	3457759
tor_Chr0	TG0g00003-mRNA1	3772709	3773944
tor_Chr0	TG0g00004-mRNA1	3892715	3894468
tor_Chr0	TG0g00005-mRNA1	4264593	4339837
tor_Chr0	TG0g00006-mRNA1	4574766	4575222
tor_Chr0	TG0g00007-mRNA1	6029440	6031042
tor_Chr0	TG0g00008-mRNA1	6039802	6057752
tor_Chr0	TG0g00009-mRNA1	6092886	6094488
tor_Chr0	TG0g00010-mRNA1	6114877	6121107
tor_Chr0	TG0g00011-mRNA1	6155392	6156994
tor_Chr0	TG0g00012-mRNA1	6219054	6220656
tor_Chr0	TG0g00014-mRNA1	6282577	6284179
tor_Chr0	TG0g00015-mRNA1	6303321	6312205
tor_Chr0	TG0g00016-mRNA1	6346229	6347831
tor_Chr0	TG0g00017-mRNA1	6409909	6411511
tor_Chr0	TG0g00018-mRNA1	6473754	6475356
tor_Chr0	TG0g00019-mRNA1	6501990	6503135
tor_Chr0	TG0g00020-mRNA1	6537443	6539045
tor_Chr0	TG0g00021-mRNA1	6565370	6566515
tor_Chr0	TG0g00022-mRNA1	6600918	6602520
tor_Chr0	TG0g00023-mRNA1	7722273	7729099
tor_Chr0	TG0g00024-mRNA1	7773119	7777648
tor_Chr0	TG0g00025-mRNA1	7782794	7783623
tor_Chr0	TG0g00395-mRNA1	7786900	7787936
tor_Chr0	TG0g00445-mRNA1	7787035	7787264
tor_Chr0	TG0g00026-mRNA1	7918901	7925727
tor_Chr0	TG0g00027-mRNA1	7969739	7974268
tor_Chr0	TG0g00028-mRNA1	7979414	7980243
tor_Chr0	TG0g00029-mRNA1	8134799	8136031
tor_Chr0	TG0g00030-mRNA1	8417747	8431227
tor_Chr0	TG0g00031-mRNA1	8431278	8431734
tor_Chr0	TG0g00032-mRNA1	9245987	9247223
tor_Chr0	TG0g00033-mRNA1	9370042	9400185
tor_Chr0	TG0g00034-mRNA1	9482484	9496964
tor_Chr0	TG0g00035-mRNA1	9897377	9909947
tor_Chr0	TG0g00036-mRNA1	9910805	9910955
tor_Chr0	TG0g00037-mRNA1	10033948	10046518
tor_Chr0	TG0g00038-mRNA1	10047376	10047526
tor_Chr0	TG0g00039-mRNA1	10170521	10177250
tor_Chr0	TG0g00040-mRNA1	11153068	11157572
tor_Chr0	TG0g00041-mRNA1	11290508	11293963
tor_Chr0	TG0g00042-mRNA1	11429575	11434079
tor_Chr0	TG0g00043-mRNA1	11963384	12029210
tor_Chr0	TG0g00044-mRNA1	12083829	12123962
tor_Chr0	TG0g00045-mRNA1	12164755	12230581
tor_Chr0	TG0g00046-mRNA1	12870364	12873392
tor_Chr0	TG0g00047-mRNA1	13058255	13061316
tor_Chr0	TG0g00048-mRNA1	13164891	13166607
tor_Chr0	TG0g00049-mRNA1	13168252	13169032
tor_Chr0	TG0g00050-mRNA1	13194367	13195589
tor_Chr0	TG0g00051-mRNA1	13196567	13197245
tor_Chr0	TG0g00052-mRNA1	13197488	13198283
tor_Chr0	TG0g00053-mRNA1	13199928	13200708
tor_Chr0	TG0g00054-mRNA1	13228176	13229898
tor_Chr0	TG0g00055-mRNA1	13231537	13232317
tor_Chr0	TG0g00056-mRNA1	13232672	13237071
tor_Chr0	TG0g00057-mRNA1	13261011	13262727
tor_Chr0	TG0g00058-mRNA1	13264372	13265152
tor_Chr0	TG0g00059-mRNA1	13292379	13295435
tor_Chr0	TG0g00060-mRNA1	13297080	13297860
tor_Chr0	TG0g00061-mRNA1	13306046	13325459
tor_Chr0	TG0g00062-mRNA1	13329798	13330578
tor_Chr0	TG0g00063-mRNA1	13356935	13358157
tor_Chr0	TG0g00064-mRNA1	13359135	13360851
tor_Chr0	TG0g00065-mRNA1	13362496	13363276
tor_Chr0	TG0g00066-mRNA1	13391096	13392311
tor_Chr0	TG0g00067-mRNA1	13395207	13395987
tor_Chr0	TG0g00068-mRNA1	13431932	13433154
tor_Chr0	TG0g00069-mRNA1	13433382	13434400
tor_Chr0	TG0g00070-mRNA1	13434411	13434908
tor_Chr0	TG0g00071-mRNA1	13437493	13438273
tor_Chr0	TG0g00072-mRNA1	13466063	13467278
tor_Chr0	TG0g00073-mRNA1	13470174	13470954
tor_Chr0	TG0g00074-mRNA1	13498826	13503717
tor_Chr0	TG0g00075-mRNA1	13538509	13540225
tor_Chr0	TG0g00076-mRNA1	13541869	13542649
tor_Chr0	TG0g00077-mRNA1	13571590	13572812
tor_Chr0	TG0g00078-mRNA1	13573790	13575506
tor_Chr0	TG0g00079-mRNA1	13577151	13577931
tor_Chr0	TG0g00080-mRNA1	13605238	13606460
tor_Chr0	TG0g00081-mRNA1	13607438	13609154
tor_Chr0	TG0g00082-mRNA1	13610799	13611579
tor_Chr0	TG0g00083-mRNA1	13638148	13639370
tor_Chr0	TG0g00085-mRNA1	13640348	13642064
tor_Chr0	TG0g00086-mRNA1	13643710	13644490
tor_Chr0	TG0g00087-mRNA1	13651938	13670921
tor_Chr0	TG0g00088-mRNA1	13671899	13673615
tor_Chr0	TG0g00089-mRNA1	13674349	13676040
tor_Chr0	TG0g00090-mRNA1	13684783	13704169
tor_Chr0	TG0g00091-mRNA1	13705147	13706863
tor_Chr0	TG0g00092-mRNA1	13708508	13709288
tor_Chr0	TG0g00093-mRNA1	13736233	13737455
tor_Chr0	TG0g00094-mRNA1	13738433	13740149
tor_Chr0	TG0g00095-mRNA1	13741794	13742574
tor_Chr0	TG0g00096-mRNA1	13769535	13770757
tor_Chr0	TG0g00097-mRNA1	13771735	13773451
tor_Chr0	TG0g00098-mRNA1	13775096	13775876
tor_Chr0	TG0g00099-mRNA1	13805007	13806723
tor_Chr0	TG0g00100-mRNA1	13808368	13809148
tor_Chr0	TG0g00101-mRNA1	13818273	13837463
