seqnames	names	start	end
pin_chr1	Pt1G00010.1	205364	206554
pin_chr1	Pt1G00020.1	264323	312899
pin_chr1	Pt1G00030.1	333426	339639
pin_chr1	Pt1G00040.1	346197	346617
pin_chr1	Pt1G00050.1	382044	383576
pin_chr1	Pt1G00060.1	422348	423699
pin_chr1	Pt1G00070.1	424311	426427
pin_chr1	Pt1G00080.1	427134	430943
pin_chr1	Pt1G00090.1	802381	803189
pin_chr1	Pt1G00100.1	820341	826266
pin_chr1	Pt1G00110.1	1310654	1315921
pin_chr1	Pt1G00120.1	1403858	1431838
pin_chr1	Pt1G00140.1	1968038	1968645
pin_chr1	Pt1G00150.1	2144538	2145328
pin_chr1	Pt1G00160.1	2782394	2866229
pin_chr1	Pt1G00170.1	2911450	2912509
pin_chr1	Pt1G00180.1	3721834	3722869
pin_chr1	Pt1G00200.1	4615957	4616794
pin_chr1	Pt1G00210.1	4616995	4617842
pin_chr1	Pt1G00220.1	4867792	4870389
pin_chr1	Pt1G00230.1	7114708	7134863
pin_chr1	Pt1G00240.1	7154598	7155190
pin_chr1	Pt1G00250.1	7316501	7317386
pin_chr1	Pt1G00260.1	7666853	7667674
pin_chr1	Pt1G00270.1	7814893	7815873
pin_chr1	Pt1G00280.9	8668433	8700857
pin_chr1	Pt1G00290.1	9099327	9101406
pin_chr1	Pt1G00300.1	9125235	9128953
pin_chr1	Pt1G00310.1	9244637	9248176
pin_chr1	Pt1G00320.1	9466981	9469227
pin_chr1	Pt1G00330.1	9835108	9836974
pin_chr1	Pt1G00340.1	10263184	10264483
pin_chr1	Pt1G00350.1	10470560	10471409
pin_chr1	Pt1G00360.1	10685302	10686314
pin_chr1	Pt1G00380.1	10894039	10894933
pin_chr1	Pt1G00390.1	11034878	11035751
pin_chr1	Pt1G00400.1	11103014	11103869
pin_chr1	Pt1G00410.1	11239199	11241464
pin_chr1	Pt1G00420.1	11293750	11294781
pin_chr1	Pt1G00430.1	11370826	11371724
pin_chr1	Pt1G00440.1	11499580	11500209
pin_chr1	Pt1G00460.4	11861944	11867183
pin_chr1	Pt1G00470.1	12611759	12616432
pin_chr1	Pt1G00480.1	12702205	12702635
pin_chr1	Pt1G00490.1	12978226	12984148
pin_chr1	Pt1G00500.1	13243182	13248911
pin_chr1	Pt1G00510.1	14343861	14348381
pin_chr1	Pt1G00520.8	14902805	14907957
pin_chr1	Pt1G00540.1	15153812	15155340
pin_chr1	Pt1G00550.1	15564028	15569295
pin_chr1	Pt1G00560.1	15920257	15921065
pin_chr1	Pt1G00570.2	16521715	16522057
pin_chr1	Pt1G00580.1	16610047	16610648
pin_chr1	Pt1G00590.4	16641818	16667209
pin_chr1	Pt1G00610.1	16777391	16781096
pin_chr1	Pt1G00620.1	16993285	16994871
pin_chr1	Pt1G00640.1	17913982	17914270
pin_chr1	Pt1G00650.1	18421632	18422070
pin_chr1	Pt1G00660.1	18476413	18476928
pin_chr1	Pt1G00670.1	18723473	18726544
pin_chr1	Pt1G00680.1	18787352	18793355
pin_chr1	Pt1G00690.1	18846462	18849434
pin_chr1	Pt1G00700.1	19237488	19239260
pin_chr1	Pt1G00710.1	19495975	19496567
pin_chr1	Pt1G00720.1	20010857	20012042
pin_chr1	Pt1G00730.1	20041888	20042522
pin_chr1	Pt1G00740.1	20261357	20262870
pin_chr1	Pt1G00750.1	20440097	20452210
pin_chr1	Pt1G00760.1	20916702	20919683
pin_chr1	Pt1G00770.1	21222525	21224117
pin_chr1	Pt1G00780.1	21542816	21543358
pin_chr1	Pt1G00790.1	21641794	21642986
pin_chr1	Pt1G00800.1	21744805	21745585
pin_chr1	Pt1G00810.1	21804204	21805121
pin_chr1	Pt1G00820.1	21885455	21886263
pin_chr1	Pt1G00830.1	22207069	22208765
pin_chr1	Pt1G00840.1	22920192	22920528
pin_chr1	Pt1G00850.1	23056212	23059241
pin_chr1	Pt1G00860.1	23157810	23160682
pin_chr1	Pt1G00880.1	23749692	23750787
pin_chr1	Pt1G00890.1	23882891	23884415
pin_chr1	Pt1G00900.1	24604962	24609021
pin_chr1	Pt1G00910.1	24711808	24715141
pin_chr1	Pt1G00920.1	24908909	24913148
pin_chr1	Pt1G00930.1	26157098	26159650
pin_chr1	Pt1G00940.1	26665513	26669915
pin_chr1	Pt1G00950.1	27661848	27666380
pin_chr1	Pt1G00960.1	27882603	27883902
pin_chr1	Pt1G00970.1	30031109	30031994
pin_chr1	Pt1G00980.1	30529212	30529847
pin_chr1	Pt1G00990.1	31718272	31721547
pin_chr1	Pt1G01000.1	32464371	32465064
pin_chr1	Pt1G01010.1	32611054	32612353
pin_chr1	Pt1G01020.1	32612996	32688214
pin_chr1	Pt1G01040.1	33220397	33478309
pin_chr1	Pt1G01060.1	33479461	33483076
pin_chr1	Pt1G01070.1	33633665	33638057
pin_chr1	Pt1G01080.1	34714174	34715213
pin_chr1	Pt1G01090.5	34746633	35064710
pin_chr1	Pt1G01100.7	35307995	35455231
pin_chr1	Pt1G01110.1	35877766	35889305
pin_chr1	Pt1G01120.2	36348609	36351428
pin_chr1	Pt1G01130.1	36597949	36599778
pin_chr1	Pt1G01140.1	37991866	37992469
pin_chr1	Pt1G01150.1	39263545	39266821
pin_chr1	Pt1G01160.1	39885697	39886846
pin_chr1	Pt1G01170.1	40719495	40724929
pin_chr1	Pt1G01180.1	40725964	40727423
pin_chr1	Pt1G01190.1	40953269	40953932
pin_chr1	Pt1G01200.1	41506403	41507080
pin_chr1	Pt1G01210.1	41792145	41793648
pin_chr1	Pt1G01220.1	41833771	41835206
pin_chr1	Pt1G01230.1	41975421	41977609
pin_chr1	Pt1G01240.1	42489633	42494183
pin_chr1	Pt1G01250.1	43659668	43662740
pin_chr1	Pt1G01260.1	43669389	43671160
pin_chr1	Pt1G01270.1	43905483	43906306
pin_chr1	Pt1G01280.6	43946512	43954993
pin_chr1	Pt1G01290.1	43956134	43964038
pin_chr1	Pt1G01300.1	44072272	44073598
pin_chr1	Pt1G01310.1	44555852	44557425
pin_chr1	Pt1G01320.1	44557778	44558565
pin_chr1	Pt1G01330.1	45326170	45327469
pin_chr1	Pt1G01340.1	45767267	45768532
pin_chr1	Pt1G01350.1	46116926	46117446
pin_chr1	Pt1G01370.1	46170920	46171698
pin_chr1	Pt1G01380.1	46297540	46299670
pin_chr1	Pt1G01390.1	46341640	46343476
pin_chr1	Pt1G01400.1	46432271	46434488
pin_chr1	Pt1G01410.1	47771347	47772681
pin_chr1	Pt1G01430.1	48060056	48061397
pin_chr1	Pt1G01440.1	49121312	49125832
pin_chr1	Pt1G01450.1	49545327	49547870
pin_chr1	Pt1G01460.1	49548454	49752857
pin_chr1	Pt1G01470.1	50015301	50019301
pin_chr1	Pt1G01480.1	50073105	50141888
pin_chr1	Pt1G01490.1	50320412	50321374
pin_chr1	Pt1G01500.1	50433354	50433948
pin_chr1	Pt1G01510.1	50472917	50575176
pin_chr1	Pt1G01520.1	50601921	50604240
pin_chr1	Pt1G01530.1	50836435	50839567
pin_chr1	Pt1G01540.3	51016540	51431167
pin_chr1	Pt1G01550.1	51777507	51778043
pin_chr1	Pt1G01560.1	51851001	51851476
pin_chr1	Pt1G01570.1	51884250	51888694
pin_chr1	Pt1G01580.1	51954063	51955429
pin_chr1	Pt1G01590.1	52493860	52506347
pin_chr1	Pt1G01600.1	52558393	52558892
pin_chr1	Pt1G01610.1	53041444	53042255
pin_chr1	Pt1G01620.1	53310392	53310821
pin_chr1	Pt1G01630.1	53501565	53502906
pin_chr1	Pt1G01640.4	53917956	54037850
pin_chr1	Pt1G01650.1	56110338	56111123
pin_chr1	Pt1G01660.1	58485321	58488095
pin_chr1	Pt1G01670.1	58510115	58510708
pin_chr1	Pt1G01680.1	58645895	58841319
pin_chr1	Pt1G01690.7	59026005	59034761
pin_chr1	Pt1G01700.1	59146074	59147178
pin_chr1	Pt1G01710.1	59363510	59363878
pin_chr1	Pt1G01720.1	59544520	59615821
pin_chr1	Pt1G01730.1	59616445	59617234
pin_chr1	Pt1G01740.1	59631005	59633047
pin_chr1	Pt1G01750.1	59633680	59894519
pin_chr1	Pt1G01780.1	60019913	60020075
pin_chr1	Pt1G01790.1	60489164	60490420
pin_chr1	Pt1G01800.1	60494662	60496812
pin_chr1	Pt1G01810.1	60561863	60567694
pin_chr1	Pt1G01820.1	61119695	61120078
pin_chr1	Pt1G01830.1	61125792	61128295
pin_chr1	Pt1G01840.3	61284037	61289735
pin_chr1	Pt1G01850.1	61488482	61491630
pin_chr1	Pt1G01870.1	61903603	61906312
pin_chr1	Pt1G01880.1	62069460	62073121
pin_chr1	Pt1G01900.1	62947756	62950170
pin_chr1	Pt1G01910.1	63162903	63163524
pin_chr1	Pt1G01920.2	63271230	63324459
pin_chr1	Pt1G01930.1	63695239	63695676
pin_chr1	Pt1G01940.1	63900633	63900954
pin_chr1	Pt1G01950.1	64082806	64083853
pin_chr1	Pt1G01960.1	64136914	64145408
pin_chr1	Pt1G01970.1	64169375	64177867
pin_chr1	Pt1G01980.1	64542966	64549654
pin_chr1	Pt1G01990.1	64970997	65063221
pin_chr1	Pt1G02000.1	65111835	65112683
pin_chr1	Pt1G02010.1	65520313	65528562
pin_chr1	Pt1G02030.1	66250007	66250474
pin_chr1	Pt1G02040.1	66583902	66584874
pin_chr1	Pt1G02050.1	67354949	67400362
pin_chr1	Pt1G02060.1	67543280	67543838
pin_chr1	Pt1G02070.1	67839467	67840484
pin_chr1	Pt1G02080.1	67876301	67876947
pin_chr1	Pt1G02090.1	67884330	67885041
pin_chr1	Pt1G02100.1	67948589	67949476
pin_chr1	Pt1G02110.1	67995428	67996447
pin_chr1	Pt1G02120.1	68126040	68126343
pin_chr1	Pt1G02130.1	68562742	68568451
pin_chr1	Pt1G02140.1	68610240	68610561
pin_chr1	Pt1G02150.1	68699546	68699852
pin_chr1	Pt1G02160.1	68926955	68931437
pin_chr1	Pt1G02170.1	69382505	69382828
pin_chr1	Pt1G02180.1	69693657	69694175
pin_chr1	Pt1G02190.1	69855356	69875119
pin_chr1	Pt1G02200.1	70184681	70222641
pin_chr1	Pt1G02210.1	70224345	70224606
pin_chr1	Pt1G02220.1	70689556	70693682
pin_chr1	Pt1G02240.1	70787531	70789134
pin_chr1	Pt1G02250.1	70790479	70790872
pin_chr1	Pt1G02260.2	70827593	70827845
pin_chr1	Pt1G02270.1	70867605	70872561
pin_chr1	Pt1G02280.1	71469606	71470248
pin_chr1	Pt1G02290.1	71519061	71526727
pin_chr1	Pt1G02300.1	72115302	72134899
pin_chr1	Pt1G02310.1	72358921	72359761
pin_chr1	Pt1G02320.1	72554155	72554588
pin_chr1	Pt1G02330.1	73064815	73066912
pin_chr1	Pt1G02340.1	73069767	73077477
pin_chr1	Pt1G02350.1	73239162	73241065
pin_chr1	Pt1G02360.1	73490833	73491250
pin_chr1	Pt1G02370.1	74884359	74884911
pin_chr1	Pt1G02380.1	75063980	75064557
pin_chr1	Pt1G02390.1	75064720	75065902
pin_chr1	Pt1G02400.1	75725693	75726948
pin_chr1	Pt1G02410.1	75881224	75882518
pin_chr1	Pt1G02420.1	76059005	76060667
pin_chr1	Pt1G02430.11	77316415	77321541
pin_chr1	Pt1G02440.1	77754780	77762299
pin_chr1	Pt1G02450.1	78031052	78032481
pin_chr1	Pt1G02460.1	78051286	78052046
pin_chr1	Pt1G02470.1	78069784	78071213
pin_chr1	Pt1G02480.1	78118862	78234654
