'Diphasiastrum_complanatum_YABBY'	Diphasiastrum_complanatum-Diphasiastrum_complanatum_YABBY
'CYCAS_008411_YABA'	Cycas_micholitzii-CYCAS_008411_YABA
'CYCAS_007102_YABA'	Cycas_micholitzii-CYCAS_007102_YABA
'WLIC_2119747_Dioon_edule_YABA'	Dioon_edule-WLIC_2119747_Dioon_edule_YABA
'GNQG_2084875_Encephalartos_barteri_YABA'	Encephalartos_barteri-GNQG_2084875_Encephalartos_barteri_YABA
'KAWQ_2053975_Stangeria_eriopus_YABA'	Stangeria_eriopus-KAWQ_2053975_Stangeria_eriopus_YABA
'LN871573_Ginkgo_biloba_YABD'	Ginkgo_biloba-LN871573_Ginkgo_biloba_YABD
'LN871574_Ginkgo_biloba_YABD'	Ginkgo_biloba-LN871574_Ginkgo_biloba_YABD
'LN871582_Zamia_vazquezii_YABD'	Zamia_vazquezii-LN871582_Zamia_vazquezii_YABD
'GNQG_2084490_Encephalartos_barteri_YABD'	Encephalartos_barteri-GNQG_2084490_Encephalartos_barteri_YABD
'KAWQ_2011477_Stangeria_eriopus_YABD'	Stangeria_eriopus-KAWQ_2011477_Stangeria_eriopus_YABD
'LN871570_Cycas_rumphii_YABD'	Cycas_rumphii-LN871570_Cycas_rumphii_YABD
'LN871571_Ephedra_distachya_YABB'	Ephedra_distachya-LN871571_Ephedra_distachya_YABB
'SRX7580805_Ephedra_sinica_YABB'	Ephedra_sinica-SRX7580805_Ephedra_sinica_YABB
'SEGI_14550_Sequoiadendron_giganteum_YABB'	Sequoiadendron_giganteum-SEGI_14550_Sequoiadendron_giganteum_YABB
'XM_057992526_Cryptomeria_japonica_YABB'	Cryptomeria_japonica-XM_057992526_Cryptomeria_japonica_YABB
'ETCJ_2053114_Pilgerodendron_uviferum_YABB'	Pilgerodendron_uviferum-ETCJ_2053114_Pilgerodendron_uviferum_YABB
'YYPE_2009774_Austrocedrus_chilensis_YABB'	Austrocedrus_chilensis-YYPE_2009774_Austrocedrus_chilensis_YABB
'RMMV_2005731_Callitris_macleayana_YABB'	Callitris_macleayana-RMMV_2005731_Callitris_macleayana_YABB
'AUDE_2052541_Widdringtonia_cedarbergensis_YABB'	Widdringtonia_cedarbergensis-AUDE_2052541_Widdringtonia_cedarbergensis_YABB
'BUWV_2009738_Platycladus_orientalis_YABB'	Platycladus_orientalis-BUWV_2009738_Platycladus_orientalis_YABB
'NKIN_2045985_Thujopsis_dolabrata_YABB'	Thujopsis_dolabrata-NKIN_2045985_Thujopsis_dolabrata_YABB
'Thupl29377238s0018_Thuja_plicata_YABB'	Thuja_plicata-Thupl29377238s0018_Thuja_plicata_YABB
'EFMS_2014223_Torreya_taxifolia_YABB'	Torreya_taxifolia-EFMS_2014223_Torreya_taxifolia_YABB
'MT557805_Pseudotsuga_menziesii_YABB'	Pseudotsuga_menziesii-MT557805_Pseudotsuga_menziesii_YABB
'MFTM_2008724_Pinus_jeffreyi_YABB'	Pinus_jeffreyi-MFTM_2008724_Pinus_jeffreyi_YABB
'DZQM_2011000_Pinus_radiata_YABB'	Pinus_radiata-DZQM_2011000_Pinus_radiata_YABB
'GAMH_2004073_Tsuga_heterophylla_YABB'	Tsuga_heterophylla-GAMH_2004073_Tsuga_heterophylla_YABB
'AQFM_2078156_Pseudolarix_amabilis_YABB'	Pseudolarix_amabilis-AQFM_2078156_Pseudolarix_amabilis_YABB
'MT557804_Cathaya_argyrophylla_YABB'	Cathaya_argyrophylla-MT557804_Cathaya_argyrophylla_YABB
'MT557798_Picea_abies_YABB'	Picea_abies-MT557798_Picea_abies_YABB
'Wm7004.a02.313.g00180_Welwitschia_mirabilis_YABD'	Welwitschia_mirabilis-Wm7004a02313g00180_Welwitschia_mirabilis_YABD
'TOXE_2011456_Welwitschia_mirabilis_YABD'	Welwitschia_mirabilis-TOXE_2011456_Welwitschia_mirabilis_YABD
'Gnetum_gnemon_YABD'	Gnetum_gnemon-Gnetum_gnemon_YABD
'LN871572_Ephedra_distachya_YABD'	Ephedra_distachya-LN871572_Ephedra_distachya_YABD
'VDAO_2030261_Ephedra_sinica_YABD'	Ephedra_sinica-VDAO_2030261_Ephedra_sinica_YABD
'LN871579_Podocarpus_reichei_YABD'	Podocarpus_reichei-LN871579_Podocarpus_reichei_YABD
'HOUF_2104850_Cryptomeria_japonica_YABD'	Cryptomeria_japonica-HOUF_2104850_Cryptomeria_japonica_YABD
'FRPM_2056760_Calocedrus_decurrens_YABD'	Calocedrus_decurrens-FRPM_2056760_Calocedrus_decurrens_YABD
'MIXZ_2003483_Agathis_robusta_YABD'	Agathis_robusta-MIXZ_2003483_Agathis_robusta_YABD
'XTZO_2061022_Metasequoia_glyptostroboides_YABD'	Metasequoia_glyptostroboides-XTZO_2061022_Metasequoia_glyptostroboides_YABD
'Nymphaea_colorata_YAB2'	Nymphaea_colorata-Nymphaea_colorata_YAB2
'Nyth27709_Nymphaea_thermarum_YAB2'	Nymphaea_thermarum-Nyth27709_Nymphaea_thermarum_YAB2
'ATR0697G223_Amborella_trichopoda_YAB2'	Amborella_trichopoda-ATR0697G223_Amborella_trichopoda_YAB2
'Illicium_floridanum_YAB2'	Illicium_floridanum-Illicium_floridanum_YAB2
'GSVIVG01037533001_Vitis_vinifera_YAB2'	Vitis_vinifera-GSVIVG01037533001_Vitis_vinifera_YAB2
'AT1G08465_Arabidopsis_thaliana_YAB2'	Arabidopsis_thaliana-AT1G08465_Arabidopsis_thaliana_YAB2
'Aqoxy1G00610_Aquilegia_oxysepala_YAB2'	Aquilegia_oxysepala-Aqoxy1G00610_Aquilegia_oxysepala_YAB2
'PGSC0003DMG400002988_Solanum_tuberosum_YAB2'	Solanum_tuberosum-PGSC0003DMG400002988_Solanum_tuberosum_YAB2
'Cc01_g07860_Coffea_canephora_YAB2'	Coffea_canephora-Cc01_g07860_Coffea_canephora_YAB2
'EL10Ac7g16274_Beta_vulgaris_YAB2'	Beta_vulgaris-EL10Ac7g16274_Beta_vulgaris_YAB2
'Phvul.011G100300_Phaseolus_vulgaris_YAB2'	Phaseolus_vulgaris-Phvul011G100300_Phaseolus_vulgaris_YAB2
'Af05G185300_Aristolochia_fimbriata_YAB2'	Aristolochia_fimbriata-Af05G185300_Aristolochia_fimbriata_YAB2
'Nyth34502_Nymphaea_thermarum_YAB5'	Nymphaea_thermarum-Nyth34502_Nymphaea_thermarum_YAB5
'Af01G026600_Aristolochia_fimbriata_YAB5'	Aristolochia_fimbriata-Af01G026600_Aristolochia_fimbriata_YAB5
'AT2G26580_Arabidopsis_thaliana_YAB5'	Arabidopsis_thaliana-AT2G26580_Arabidopsis_thaliana_YAB5
'PGSC0003DMG400030904_Solanum_tuberosum_YAB5'	Solanum_tuberosum-PGSC0003DMG400030904_Solanum_tuberosum_YAB5
'Phvul.003G166100_Phaseolus_vulgaris_YAB5'	Phaseolus_vulgaris-Phvul003G166100_Phaseolus_vulgaris_YAB5
'Cc06_g08310_Coffea_canephora_YAB5'	Coffea_canephora-Cc06_g08310_Coffea_canephora_YAB5
'EL10Ac8g18683_Beta_vulgaris_YAB5'	Beta_vulgaris-EL10Ac8g18683_Beta_vulgaris_YAB5
'Aqoxy7G03677_Aquilegia_oxysepala_YAB5'	Aquilegia_oxysepala-Aqoxy7G03677_Aquilegia_oxysepala_YAB5
'ECA234G3391_Erigeron_canadensis_YAB5'	Erigeron_canadensis-ECA234G3391_Erigeron_canadensis_YAB5
'GSVIVG01015567001_Vitis_vinifera_YAB5'	Vitis_vinifera-GSVIVG01015567001_Vitis_vinifera_YAB5
'ptg001084l.4_Illicium_verum_YAB5'	Illicium_verum-ptg001084l_4_Illicium_verum_YAB5
'ptg002967l.1_augustus_arabido_INO_g2t2'	Nymphaea_thermarum-ptg002967l_augustus_arabido_INO_g2t2
'Nyth24944_Nymphaea_thermarum_INO'	Nymphaea_thermarum-Nyth24944_Nymphaea_thermarum_INO
'Nymphaea_colorata_INO'	Nymphaea_colorata-Nymphaea_colorata_INO
'Af03G134500_Aristolochia_fimbriata_INO'	Aristolochia_fimbriata-Af03G134500_Aristolochia_fimbriata_INO
'Aqoxy3G02889_Aquilegia_oxysepala_INO'	Aquilegia_oxysepala-Aqoxy3G02889_Aquilegia_oxysepala_INO
'Phaseolus_vulgaris_INO'	Phaseolus_vulgaris-Phaseolus_vulgaris_INO
'arabido_INO'	Arabidopsis_thaliana-arabido_INO
'GSVIVG01013778001_Vitis_vinifera_INO'	Vitis_vinifera-GSVIVG01013778001_Vitis_vinifera_INO
'coffea_arabica_INO_g1.t1_g1.t2'	Coffea_arabica-coffea_arabica_INO
'ECA246G4000_Erigeron_canadensis_INO'	Erigeron_canadensis-ECA246G4000_Erigeron_canadensis_INO
'EL10Ac6g13704_Beta_vulgaris_INO'	Beta_vulgaris-EL10Ac6g13704_Beta_vulgaris_INO
'ATR1091G097_Amborella_trichopoda_INO'	Amborella_trichopoda-ATR1091G097_Amborella_trichopoda_INO
'ptg000063l.71_Illicium_verum_FIL'	Illicium_verum-ptg000063l_71_Illicium_verum_FIL
'nymphaea_colorata_FIL'	Nymphaea_colorata-Nymphaea_colorata_FIL
'NC_045141_Nymphea_thermarum_FIL'	Nymphaea_thermarum-NC_045141_Nymphaea_thermarum_FIL
'ptg000706l.62_Illicium_verum_CRC'	Illicium_verum-ptg000706l_62_Illicium_verum_CRC
'GSVIVG01012246001_Vitis_vinifera_CRC'	Vitis_vinifera-GSVIVG01012246001_Vitis_vinifera_CRC
'Aqoxy3G00537_Aquilegia_oxysepala_CRC'	Aquilegia_oxysepala-Aqoxy3G00537_Aquilegia_oxysepala_CRC
