seqnames	strand	source	type	phase	names	gene_id	start	end
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_21820	W_mirabilis_21820	121596	152397
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_21821	W_mirabilis_21821	332961	336195
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_21822	W_mirabilis_21822	973390	1086418
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_21823	W_mirabilis_21823	1326186	1330521
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_21824	W_mirabilis_21824	1672072	1771564
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_21825	W_mirabilis_21825	2156104	2158604
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_18792	W_mirabilis_18792	2406793	2411920
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_15991	W_mirabilis_15991	2746576	2747113
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_15992	W_mirabilis_15992	2747574	2748060
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_13725	W_mirabilis_13725	3679235	3812536
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_13726	W_mirabilis_13726	3837422	3851631
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_05415	W_mirabilis_05415	4275884	4277698
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_05414	W_mirabilis_05414	4742837	4743601
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_05413	W_mirabilis_05413	4744135	4744612
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_05412	W_mirabilis_05412	4808019	4808535
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_05411	W_mirabilis_05411	5399488	5464305
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_11962	W_mirabilis_11962	5579208	5579607
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_11963	W_mirabilis_11963	5604103	5668649
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_11964	W_mirabilis_11964	5768515	5774333
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_11965	W_mirabilis_11965	6034137	6034410
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_11966	W_mirabilis_11966	6034460	6034817
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_11967	W_mirabilis_11967	6035157	6037128
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_07460	W_mirabilis_07460	6419853	6574568
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_07459	W_mirabilis_07459	7211186	7215156
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_12682	W_mirabilis_12682	7483434	7537797
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_12681	W_mirabilis_12681	7690431	7741235
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_12680	W_mirabilis_12680	7755561	7759535
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_11369	W_mirabilis_11369	8113174	8220402
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_11370	W_mirabilis_11370	8282983	8284166
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_11371	W_mirabilis_11371	8284683	8285322
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_11372	W_mirabilis_11372	8405256	8411762
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_11373	W_mirabilis_11373	8907413	8925684
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_13698	W_mirabilis_13698	8941635	9142738
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_13699	W_mirabilis_13699	9269708	9271436
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_13700	W_mirabilis_13700	9580412	9581351
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_13701	W_mirabilis_13701	9581787	9582402
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_15058	W_mirabilis_15058	10062500	10097135
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_15059	W_mirabilis_15059	10272955	10273231
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_15060	W_mirabilis_15060	10418454	10425250
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_20697	W_mirabilis_20697	10749995	10750364
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_19955	W_mirabilis_19955	10869841	10871707
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_19956	W_mirabilis_19956	10991536	11142734
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_12933	W_mirabilis_12933	11365418	11479200
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_12934	W_mirabilis_12934	11551490	11551997
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_12935	W_mirabilis_12935	11611831	11618912
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_12936	W_mirabilis_12936	11696517	11861057
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_19266	W_mirabilis_19266	11864312	12052036
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_20995	W_mirabilis_20995	12242636	12244003
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_20994	W_mirabilis_20994	12347741	12349080
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_20993	W_mirabilis_20993	12381878	12386234
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_09824	W_mirabilis_09824	12797971	12846221
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_09825	W_mirabilis_09825	12923890	12927118
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_09826	W_mirabilis_09826	13238526	13240959
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_09827	W_mirabilis_09827	13301276	13301817
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_12226	W_mirabilis_12226	13388823	13443822
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_12227	W_mirabilis_12227	13525160	13532644
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_23094	W_mirabilis_23094	14130145	14198697
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_11658	W_mirabilis_11658	14603858	14605515
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_17836	W_mirabilis_17836	15303189	15398735
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_17837	W_mirabilis_17837	15423598	15425818
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_17838	W_mirabilis_17838	15426541	15426853
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_17839	W_mirabilis_17839	15432411	15435519
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_14076	W_mirabilis_14076	15678465	15679548
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_14075	W_mirabilis_14075	15682090	15683312
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_14074	W_mirabilis_14074	15783057	15934942
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_11806	W_mirabilis_11806	16150805	16151357
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_11805	W_mirabilis_11805	16378438	16536495
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_11804	W_mirabilis_11804	16686797	16914796
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_14529	W_mirabilis_14529	17837306	17864952
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_14528	W_mirabilis_14528	17951746	18049800
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_14527	W_mirabilis_14527	18050356	18050827
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_14526	W_mirabilis_14526	18067604	18067994
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_19703	W_mirabilis_19703	18592652	18594145
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_22997	W_mirabilis_22997	19076382	19077890
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_09089	W_mirabilis_09089	19597917	19598610
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_23942	W_mirabilis_23942	20230633	20231278
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_23943	W_mirabilis_23943	20231667	20232184
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_12109	W_mirabilis_12109	20711087	20713038
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_19900	W_mirabilis_19900	21266880	21272755
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_24038	W_mirabilis_24038	21360588	21361615
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_22831	W_mirabilis_22831	21489542	21504829
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_25009	W_mirabilis_25009	21884483	21885113
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_25010	W_mirabilis_25010	22000503	22001169
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_25011	W_mirabilis_25011	22391479	22540665
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_25012	W_mirabilis_25012	22567820	22603532
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_25013	W_mirabilis_25013	22806332	22883642
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_25014	W_mirabilis_25014	22956520	23154591
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_25015	W_mirabilis_25015	23518182	23522128
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_09374	W_mirabilis_09374	23614492	23614945
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_09373	W_mirabilis_09373	23615369	23618006
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_09372	W_mirabilis_09372	23803986	23894844
Chr01	-	dryad_ht76hdrdr	gene	-	W_mirabilis_09371	W_mirabilis_09371	24018617	24020087
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_09370	W_mirabilis_09370	24029346	24034302
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_09369	W_mirabilis_09369	24068278	24077738
Chr01	+	dryad_ht76hdrdr	gene	+	W_mirabilis_09368	W_mirabilis_09368	24212649	24215272
