seqnames	strand	source	type	phase	names	gene_id	start	end
cyc_chr1	+	ginkgoDB	gene	+	CYCAS_000001	CYCAS_000001	12729	14425
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000002	CYCAS_000002	15423	16870
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000003	CYCAS_000003	49743	50292
cyc_chr1	+	ginkgoDB	gene	+	CYCAS_000004	CYCAS_000004	50790	51273
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000005	CYCAS_000005	70653	73286
cyc_chr1	+	ginkgoDB	gene	+	CYCAS_000006	CYCAS_000006	101884	102718
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000007	CYCAS_000007	102821	103430
cyc_chr1	+	ginkgoDB	gene	+	CYCAS_000008	CYCAS_000008	104936	108544
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000009	CYCAS_000009	109407	120914
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000010	CYCAS_000010	167001	167478
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000011	CYCAS_000011	168583	171378
cyc_chr1	+	ginkgoDB	gene	+	CYCAS_000012	CYCAS_000012	171433	171724
cyc_chr1	+	ginkgoDB	gene	+	CYCAS_000013	CYCAS_000013	171864	172131
cyc_chr1	+	ginkgoDB	gene	+	CYCAS_000014	CYCAS_000014	175191	175602
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000015	CYCAS_000015	186283	192948
cyc_chr1	+	ginkgoDB	gene	+	CYCAS_000016	CYCAS_000016	193352	193874
cyc_chr1	+	ginkgoDB	gene	+	CYCAS_000017	CYCAS_000017	198163	199171
cyc_chr1	+	ginkgoDB	gene	+	CYCAS_000018	CYCAS_000018	213340	214345
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000019	CYCAS_000019	219649	219931
cyc_chr1	+	ginkgoDB	gene	+	CYCAS_000020	CYCAS_000020	220118	221052
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000021	CYCAS_000021	281419	282957
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000022	CYCAS_000022	378637	440292
cyc_chr1	+	ginkgoDB	gene	+	CYCAS_000023	CYCAS_000023	443360	444002
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000024	CYCAS_000024	464207	464540
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000025	CYCAS_000025	582404	582701
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000026	CYCAS_000026	623558	623975
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000027	CYCAS_000027	764863	765166
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000028	CYCAS_000028	804801	854590
cyc_chr1	-	ginkgoDB	gene	-	CYCAS_000029	CYCAS_000029	939077	939493
cyc_chr1	+	ginkgoDB	gene	+	CYCAS_000030	CYCAS_000030	956917	1005049
cyc_chr1	+	ginkgoDB	gene	+	CYCAS_000031	CYCAS_000031	1255232	1255646
cyc_chr1	+	ginkgoDB	gene	+	CYCAS_000032	CYCAS_000032	1255987	1256278
