seqnames	strand	source	type	phase	names	gene_id	start	end
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000447071t02	TnS000447071t02	9552	10792
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000447071t01	TnS000447071t01	99879	101519
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000732881t01	TnS000732881t01	435158	435605
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000732881t02	TnS000732881t02	437493	438275
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS001026335t01	TnS001026335t01	689837	690125
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000879301t05	TnS000879301t05	737370	738263
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000879301t04	TnS000879301t04	741719	743136
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000879301t03	TnS000879301t03	749925	752406
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000974901t27	TnS000974901t27	835859	875953
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000974901t26	TnS000974901t26	936987	940834
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000974901t25	TnS000974901t25	1037034	1039671
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000974901t24	TnS000974901t24	1157158	1159756
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000974901t23	TnS000974901t23	1275703	1283895
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000974901t22	TnS000974901t22	1339631	1343065
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000974901t21	TnS000974901t21	1393855	1451612
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000974901t20	TnS000974901t20	1455911	1457322
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000974901t19	TnS000974901t19	1612327	1614006
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000974901t18	TnS000974901t18	1657084	1658192
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000974901t17	TnS000974901t17	1672039	1682982
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000974901t16	TnS000974901t16	1739020	1761964
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000974901t15	TnS000974901t15	1769060	1770874
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000974901t14	TnS000974901t14	1777223	1780044
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000974901t12	TnS000974901t12	1843749	1846487
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000974901t13	TnS000974901t13	1845788	1846091
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000974901t11	TnS000974901t11	1920943	1922599
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000974901t10	TnS000974901t10	1995939	1998036
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000974901t09	TnS000974901t09	1999442	2001387
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000974901t08	TnS000974901t08	2010385	2013422
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000974901t07	TnS000974901t07	2018118	2021105
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000974901t06	TnS000974901t06	2024105	2029010
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000974901t05	TnS000974901t05	2051319	2060159
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000974901t04	TnS000974901t04	2075108	2077172
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000974901t03	TnS000974901t03	2079552	2081907
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000974901t02	TnS000974901t02	2143335	2146256
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000974901t01	TnS000974901t01	2153844	2156872
gne_Chr1	+	dryad.ht76hdrdr 	gene	+	TnS000008111t08	TnS000008111t08	2261530	2265356
gne_Chr1	-	dryad.ht76hdrdr 	gene	-	TnS000008111t07	TnS000008111t07	2315714	2322918
