seqnames	names	start	end
wel_Chr01	W_mirabilis_21820	121596	152397
wel_Chr01	W_mirabilis_21821	332961	336195
wel_Chr01	W_mirabilis_21822	973390	1086418
wel_Chr01	W_mirabilis_21823	1326186	1330521
wel_Chr01	W_mirabilis_21824	1672072	1771564
wel_Chr01	W_mirabilis_21825	2156104	2158604
wel_Chr01	W_mirabilis_18792	2406793	2411920
wel_Chr01	W_mirabilis_15991	2746576	2747113
wel_Chr01	W_mirabilis_15992	2747574	2748060
wel_Chr01	W_mirabilis_13725	3679235	3812536
wel_Chr01	W_mirabilis_13726	3837422	3851631
wel_Chr01	W_mirabilis_05415	4275884	4277698
wel_Chr01	W_mirabilis_05414	4742837	4743601
wel_Chr01	W_mirabilis_05413	4744135	4744612
wel_Chr01	W_mirabilis_05412	4808019	4808535
wel_Chr01	W_mirabilis_05411	5399488	5464305
wel_Chr01	W_mirabilis_11962	5579208	5579607
wel_Chr01	W_mirabilis_11963	5604103	5668649
wel_Chr01	W_mirabilis_11964	5768515	5774333
wel_Chr01	W_mirabilis_11965	6034137	6034410
wel_Chr01	W_mirabilis_11966	6034460	6034817
wel_Chr01	W_mirabilis_11967	6035157	6037128
wel_Chr01	W_mirabilis_07460	6419853	6574568
wel_Chr01	W_mirabilis_07459	7211186	7215156
wel_Chr01	W_mirabilis_12682	7483434	7537797
wel_Chr01	W_mirabilis_12681	7690431	7741235
wel_Chr01	W_mirabilis_12680	7755561	7759535
wel_Chr01	W_mirabilis_11369	8113174	8220402
wel_Chr01	W_mirabilis_11370	8282983	8284166
wel_Chr01	W_mirabilis_11371	8284683	8285322
wel_Chr01	W_mirabilis_11372	8405256	8411762
wel_Chr01	W_mirabilis_11373	8907413	8925684
wel_Chr01	W_mirabilis_13698	8941635	9142738
wel_Chr01	W_mirabilis_13699	9269708	9271436
wel_Chr01	W_mirabilis_13700	9580412	9581351
wel_Chr01	W_mirabilis_13701	9581787	9582402
wel_Chr01	W_mirabilis_15058	10062500	10097135
wel_Chr01	W_mirabilis_15059	10272955	10273231
wel_Chr01	W_mirabilis_15060	10418454	10425250
wel_Chr01	W_mirabilis_20697	10749995	10750364
wel_Chr01	W_mirabilis_19955	10869841	10871707
wel_Chr01	W_mirabilis_19956	10991536	11142734
wel_Chr01	W_mirabilis_12933	11365418	11479200
wel_Chr01	W_mirabilis_12934	11551490	11551997
wel_Chr01	W_mirabilis_12935	11611831	11618912
wel_Chr01	W_mirabilis_12936	11696517	11861057
wel_Chr01	W_mirabilis_19266	11864312	12052036
wel_Chr01	W_mirabilis_20995	12242636	12244003
wel_Chr01	W_mirabilis_20994	12347741	12349080
wel_Chr01	W_mirabilis_20993	12381878	12386234
wel_Chr01	W_mirabilis_09824	12797971	12846221
wel_Chr01	W_mirabilis_09825	12923890	12927118
wel_Chr01	W_mirabilis_09826	13238526	13240959
wel_Chr01	W_mirabilis_09827	13301276	13301817
wel_Chr01	W_mirabilis_12226	13388823	13443822
wel_Chr01	W_mirabilis_12227	13525160	13532644
wel_Chr01	W_mirabilis_23094	14130145	14198697
wel_Chr01	W_mirabilis_11658	14603858	14605515
wel_Chr01	W_mirabilis_17836	15303189	15398735
wel_Chr01	W_mirabilis_17837	15423598	15425818
wel_Chr01	W_mirabilis_17838	15426541	15426853
wel_Chr01	W_mirabilis_17839	15432411	15435519
wel_Chr01	W_mirabilis_14076	15678465	15679548
wel_Chr01	W_mirabilis_14075	15682090	15683312
wel_Chr01	W_mirabilis_14074	15783057	15934942
wel_Chr01	W_mirabilis_11806	16150805	16151357
wel_Chr01	W_mirabilis_11805	16378438	16536495
wel_Chr01	W_mirabilis_11804	16686797	16914796
wel_Chr01	W_mirabilis_14529	17837306	17864952
wel_Chr01	W_mirabilis_14528	17951746	18049800
wel_Chr01	W_mirabilis_14527	18050356	18050827
wel_Chr01	W_mirabilis_14526	18067604	18067994
wel_Chr01	W_mirabilis_19703	18592652	18594145
wel_Chr01	W_mirabilis_22997	19076382	19077890
wel_Chr01	W_mirabilis_09089	19597917	19598610
wel_Chr01	W_mirabilis_23942	20230633	20231278
wel_Chr01	W_mirabilis_23943	20231667	20232184
wel_Chr01	W_mirabilis_12109	20711087	20713038
wel_Chr01	W_mirabilis_19900	21266880	21272755
wel_Chr01	W_mirabilis_24038	21360588	21361615
wel_Chr01	W_mirabilis_22831	21489542	21504829
wel_Chr01	W_mirabilis_25009	21884483	21885113
wel_Chr01	W_mirabilis_25010	22000503	22001169
wel_Chr01	W_mirabilis_25011	22391479	22540665
wel_Chr01	W_mirabilis_25012	22567820	22603532
wel_Chr01	W_mirabilis_25013	22806332	22883642
wel_Chr01	W_mirabilis_25014	22956520	23154591
wel_Chr01	W_mirabilis_25015	23518182	23522128
wel_Chr01	W_mirabilis_09374	23614492	23614945
wel_Chr01	W_mirabilis_09373	23615369	23618006
wel_Chr01	W_mirabilis_09372	23803986	23894844
wel_Chr01	W_mirabilis_09371	24018617	24020087
wel_Chr01	W_mirabilis_09370	24029346	24034302
wel_Chr01	W_mirabilis_09369	24068278	24077738
wel_Chr01	W_mirabilis_09368	24212649	24215272
wel_Chr01	W_mirabilis_09367	24215766	24216456
wel_Chr01	W_mirabilis_09366	24284561	24286060
wel_Chr01	W_mirabilis_14447	24546034	24546690
wel_Chr01	W_mirabilis_14448	24585504	24587660
wel_Chr01	W_mirabilis_14449	24627843	24856403
wel_Chr01	W_mirabilis_17974	25201477	25204272
wel_Chr01	W_mirabilis_10920	25598412	25729856
wel_Chr01	W_mirabilis_10921	25859210	25925669
wel_Chr01	W_mirabilis_10922	25945030	25951190
wel_Chr01	W_mirabilis_10923	25979229	25980147
wel_Chr01	W_mirabilis_10924	26025664	26029669
wel_Chr01	W_mirabilis_10925	26689076	26689511
wel_Chr01	W_mirabilis_10926	26689759	26692135
wel_Chr01	W_mirabilis_10927	26956458	26960531
wel_Chr01	W_mirabilis_10928	27108153	27319705
wel_Chr01	W_mirabilis_10929	27516083	27524697
wel_Chr01	W_mirabilis_10930	27647124	27647490
wel_Chr01	W_mirabilis_10931	27650822	27758227
wel_Chr01	W_mirabilis_10932	27984800	28105219
wel_Chr01	W_mirabilis_10933	28160329	28166524
wel_Chr01	W_mirabilis_10934	28253318	28305750
wel_Chr01	W_mirabilis_10935	28323184	28326358
wel_Chr01	W_mirabilis_10936	28519013	28521789
wel_Chr01	W_mirabilis_10937	28621570	28622054
wel_Chr01	W_mirabilis_10938	28622113	28623034
wel_Chr01	W_mirabilis_10939	28636399	28637374
wel_Chr01	W_mirabilis_10940	28638011	28638650
wel_Chr01	W_mirabilis_10941	28772290	28772758
wel_Chr01	W_mirabilis_10942	28773354	28773822
wel_Chr01	W_mirabilis_16263	28824103	28824604
wel_Chr01	W_mirabilis_16264	28966832	28971570
wel_Chr01	W_mirabilis_16265	29166850	29217768
wel_Chr01	W_mirabilis_12353	29465998	29466157
wel_Chr01	W_mirabilis_12354	29699288	29841164
wel_Chr01	W_mirabilis_12355	29996407	30002080
wel_Chr01	W_mirabilis_21757	30268282	30589004
wel_Chr01	W_mirabilis_21756	30644062	30644551
wel_Chr01	W_mirabilis_21755	30645110	30645815
wel_Chr01	W_mirabilis_21754	30648443	30648758
wel_Chr01	W_mirabilis_21753	30649051	30649348
wel_Chr01	W_mirabilis_21752	30649720	30649975
wel_Chr01	W_mirabilis_21751	30751172	30754645
wel_Chr01	W_mirabilis_21750	30960024	30961506
wel_Chr01	W_mirabilis_21749	31115322	31119789
wel_Chr01	W_mirabilis_21748	31550823	31693249
wel_Chr01	W_mirabilis_21747	32300708	32301487
