N000000001	N000000001[&!color=#000000]
Phylloglossum_drummondii_YABBY	Phylloglossum_drummondii_YABBY[&!color=#000000]
N000000002	N000000002[&label=47]
Diphasiastrum_complanatum_YABBY	Diphasiastrum_complanatum_YABBY[&!color=#000000]
N000000003	N000000003[&label=100]
Huperzia_selago_YABBY	Huperzia_selago_YABBY[&!color=#000000]
N000000004	N000000004[&label=80]
Sphagnum_magellanicum_YABBY	Sphagnum_magellanicum_YABBY[&!color=#000000]
N000000005	N000000005[&label=98]
N000000006	N000000006[&label=97]
Leiosporoceros_dussii_YABBY	Leiosporoceros_dussii_YABBY[&!color=#000000]
Anthoceros_agrestis_YABBY	Anthoceros_agrestis_YABBY[&!color=#000000]
N000000007	N000000007[&label=56]
N000000121	N000000121[&label=81,!color=#00b2ff]
N000000008	N000000008[&label=40]
N000000116	N000000116[&label=44,!color=#2300ff]
N000000122	N000000122[&label=96,!color=#00b2ff]
N000000128	N000000128[&label=100,!color=#00b2ff]
N000000009	N000000009[&label=79,!color=#ffe100]
N000000025	N000000025[&label=25]
N000000117	N000000117[&label=54,!color=#2300ff]
LN871574_Ginkgo_biloba_YABD	LN871574_Ginkgo_biloba_YABD[&!color=#2300ff]
N000000123	N000000123[&label=49,!color=#00b2ff]
AQFM_2078156_Pseudolarix_amabilis_YABB	AQFM_2078156_Pseudolarix_amabilis_YABB[&!color=#00b2ff]
N000000129	N000000129[&label=99,!color=#00b2ff]
EFMS_2014223_Torreya_taxifolia_YABB	EFMS_2014223_Torreya_taxifolia_YABB[&!color=#00b2ff]
N000000010	N000000010[&label=76,!color=#ffe100]
N000000021	N000000021[&label=100,!color=#ffe100]
N000000026	N000000026[&label=27]
N000000100	N000000100[&label=60,!color=#00ff0f]
N000000118	N000000118[&label=95,!color=#2300ff]
LN871573_Ginkgo_biloba_YABD	LN871573_Ginkgo_biloba_YABD[&!color=#2300ff]
N000000124	N000000124[&label=61,!color=#00b2ff]
GAMH_2004073_Tsuga_heterophylla_YABB	GAMH_2004073_Tsuga_heterophylla_YABB[&!color=#00b2ff]
N000000130	N000000130[&label=84,!color=#00b2ff]
SEGI_14550_Sequoiadendron_giganteum_YABB	SEGI_14550_Sequoiadendron_giganteum_YABB[&!color=#00b2ff]
SGTW_2038222_Ginkgo_biloba_YABA	SGTW_2038222_Ginkgo_biloba_YABA[&!color=#ffe100]
N000000011	N000000011[&label=91,!color=#ffe100]
N000000022	N000000022[&label=88,!color=#ffe100]
N000000023	N000000023[&label=100,!color=#ffe100]
N000000027	N000000027[&label=24]
N000000077	N000000077[&label=56]
N000000101	N000000101[&label=100,!color=#00ff0f]
N000000104	N000000104[&label=70,!color=#00ff0f]
N000000119	N000000119[&label=95,!color=#2300ff]
LN871570_Cycas_rumphii_YABD	LN871570_Cycas_rumphii_YABD[&!color=#2300ff]
N000000125	N000000125[&label=25,!color=#00b2ff]
MT557804_Cathaya_argyrophylla_YABB	MT557804_Cathaya_argyrophylla_YABB[&!color=#00b2ff]
N000000131	N000000131[&label=90,!color=#00b2ff]
XM_057992526_Cryptomeria_japonica_YABB	XM_057992526_Cryptomeria_japonica_YABB[&!color=#00b2ff]
N000000012	N000000012[&label=99,!color=#ffe100]
N000000018	N000000018[&label=100,!color=#ffe100]
CYCAS_008411_YABA	CYCAS_008411_YABA[&!color=#ffe100]
CYCAS_007102_YABA	CYCAS_007102_YABA[&!color=#ffe100]
N000000024	N000000024[&label=84,!color=#ffe100]
